episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
1,24,1,20.417646,0.0,0.99848,2,1,1,1,0,4,43,2,1.162109,2,0,6.581055,0.139308,1.125,0.132277,0.169288,0.070936,6.47,1.4,0.202242
2,26,2,-2.292924,0.0,0.998353,2,1,1,1,0,0,0,2,0.976562,0,2,-2.511719,,,,,,,,
3,49,3,8.878656,0.0,0.996897,4,1,1,2,1,1,14,5,1.751221,0,5,-6.62439,,,,,,,,
4,88,4,5.468068,0.0,0.994427,4,1,1,1,0,1,36,9,4.645996,3,6,2.322998,,,,,,,,
5,164,5,-4.156837,0.0,0.989613,11,1,1,2,1,0,7,2,1.339355,0,2,-3.530322,,,,,,,,
6,231,6,23.838829,0.0,0.98537,15,1,1,3,2,1,29,2,0.821777,1,1,-0.489111,,,,,,,,
7,287,7,7.791361,0.0,0.981823,18,1,1,3,2,2,23,2,0.60376,1,1,-0.59812,,,,,,,,
8,434,8,54.124158,0.0,0.972513,28,1,1,4,3,9,96,6,2.207275,2,4,-2.496362,,,,,,,,
9,578,9,4.142427,0.0,0.963393,9,1,1,2,1,1,9,4,1.924316,1,3,-1.737842,,,,,,,,
10,643,10,29.937266,0.0,0.959277,41,1,1,3,2,8,95,5,1.625,2,3,2.3125,,,,,,,,
11,654,11,57.392281,0.0,0.95858,41,1,1,3,2,13,58,7,3.201416,7,0,22.600708,,,,,,,,
12,815,12,-4.77639,0.0,0.948383,33,1,1,3,2,0,0,2,0.677734,0,2,-5.061133,,,,,,,,
13,826,13,-12.123304,0.0,0.947687,50,1,1,4,3,0,0,1,0.878906,1,0,2.239453,,,,,,,,
14,846,14,-2.572012,0.0,0.94642,12,1,1,1,0,0,50,9,4.060547,4,5,6.530273,,,,,,,,
15,916,15,47.026273,0.0,0.941987,47,1,1,3,2,9,46,13,5.715332,11,2,31.657666,,,,,,,,
16,1063,16,20.801719,0.205506,0.932677,52,1,1,4,3,1,18,3,1.394775,3,0,9.697388,,,,,,,,
17,1182,17,43.284135,0.185602,0.92514,21,1,1,2,1,9,135,7,2.384033,4,3,7.492017,,,,,,,,
18,1359,18,30.937001,0.167133,0.91393,34,1,1,6,5,5,27,3,1.056885,3,0,4.728442,,,,,,,,
19,1385,19,-22.339694,0.165726,0.912283,87,1,1,8,7,0,0,1,0.747559,0,1,-7.126221,,,,,,,,
20,1878,20,-16.334764,0.127052,0.88106,118,1,1,7,6,0,7,4,1.680176,1,3,-6.659912,,,,,,,,
21,1912,21,-37.629548,0.128655,0.878907,114,0,1,16,16,0,5,2,0.617188,0,2,-19.491406,,,,,,,,
22,2080,22,-29.695372,0.126576,0.868267,130,0,1,16,16,0,0,0,0.0,0,0,-16.8,,,,,,,,
23,2161,23,-1.173084,0.123672,0.863137,132,0,1,16,16,0,9,0,0.0,0,0,-16.8,,,,,,,,
24,2188,24,-35.326823,0.129417,0.861427,137,1,1,12,11,0,0,3,2.028809,1,2,-8.585596,,,,,,,,
25,2267,25,-33.008958,0.112345,0.856423,142,0,1,16,16,0,20,0,0.0,0,0,-15.6,,,,,,,,
26,2329,26,-10.837277,0.109843,0.852497,59,1,1,6,5,0,0,2,1.34082,1,1,-2.62959,,,,,,,,
27,2408,27,56.319813,0.09691,0.847493,31,1,1,6,5,2,32,11,4.288818,6,5,7.844409,,,,,,,,
28,2413,28,-23.692394,0.117711,0.847177,151,0,1,16,16,0,0,0,0.0,0,0,-18.0,,,,,,,,
29,2741,29,-87.635338,0.113858,0.826403,172,0,1,16,16,0,10,0,0.0,0,0,-16.8,,,,,,,,
30,2990,30,-4.833112,0.107286,0.810633,113,0,1,16,16,0,6,1,0.40918,1,0,-12.39541,,,,,,,,
31,2995,31,-59.875372,0.111976,0.810317,147,0,1,16,16,0,0,0,0.0,0,0,-15.6,,,,,,,,
32,3082,32,-3.115196,0.111969,0.804807,141,0,1,16,16,0,18,1,0.355713,0,1,-14.522144,,,,,,,,
33,3099,33,83.952704,0.104325,0.80373,52,1,1,9,8,6,34,3,1.293701,1,2,-7.753149,,,,,,,,
34,3163,34,-2.233715,0.07621,0.799677,4,1,1,1,0,0,0,1,0.562012,0,1,-1.218994,,,,,,,,
35,3287,35,-30.276351,0.108292,0.791823,139,0,1,16,16,0,0,1,0.325928,0,1,-16.937036,,,,,,,,
36,3300,36,-6.484369,0.108963,0.791,149,0,1,16,16,0,6,1,0.270508,0,1,-16.964746,,,,,,,,
37,3643,37,115.937652,0.087767,0.769277,30,1,1,9,8,2,39,4,1.481689,4,0,5.540845,,,,,,,,
38,3742,38,-19.286072,0.093224,0.763007,47,1,1,5,4,0,13,2,0.703857,0,2,-6.248071,,,,,,,,
39,3770,39,17.243564,0.093421,0.761233,43,1,1,5,4,0,17,2,1.307617,0,2,-5.946191,,,,,,,,
40,3783,40,-5.663297,0.091596,0.76041,31,1,1,4,3,0,0,1,0.750488,-1,2,-6.224756,,,,,,,,
41,3796,41,64.446083,0.091792,0.759587,31,1,1,4,3,5,49,5,2.31543,1,4,-5.442285,,,,,,,,
42,3821,42,67.860097,0.095248,0.758003,88,1,1,14,13,8,21,7,3.116943,6,1,2.458472,,,,,,,,
43,3870,43,-2.836678,0.088327,0.7549,8,1,1,1,0,0,60,6,3.641602,5,1,15.320801,,,,,,,,
44,3938,44,3.638649,0.10536,0.750593,210,0,1,16,16,0,18,0,0.0,0,0,-13.2,,,,,,,,
45,3994,45,34.944551,0.099571,0.747047,14,2,2,2,0,7,18,8,4.342041,6,2,17.171021,,,,,,,,
46,4003,46,-12.507764,0.104583,0.746477,63,1,1,6,5,0,10,4,1.474121,0,4,-11.262939,,,,,,,,
47,4047,47,-31.391995,0.097924,0.74369,168,1,1,16,15,0,2,2,0.687988,0,2,-15.856006,,,,,,,,
48,4080,48,-22.51184,0.098448,0.7416,125,0,1,16,16,0,0,0,0.0,0,0,-16.8,,,,,,,,
49,4204,49,14.559511,0.097122,0.733747,126,0,1,16,16,0,14,1,0.264404,0,1,-16.967798,,,,,,,,
